BookID,Title,Author,Genre,Description
682b0806103a033da6dfc1d1,Vừa nhắm mắt Vừa mở cửa sổ,Nguyễn Ngọc Thuần,Văn học Việt Nam,Truyện về một thế giới của cả trẻ con lẫn người lớn được kể lại trong giọng kể của một cậu bé 10 tuổi. Và con mắt của cậu bé ở đây cũng như thể một tấm gương có độ trong đặc biệt làm người lớn đọc vào mà cảm động và... buồn vì gương của mình đã đục bớt. -  Nhà văn Phan Thị Vàng Anh
682b08e9103a033da6dfc1d4,Cho Tôi Xin Một Vé Đi Tuổi Thơ,Nguyễn Nhật Ánh,Văn học Việt Nam,Truyện Cho tôi xin một vé đi tuổi thơ là sáng tác mới nhất của nhà văn Nguyễn Nhật Ánh. Nhà văn mời người đọc lên chuyến tàu quay ngược trở lại thăm tuổi thơ và tình bạn dễ thương của 4 bạn nhỏ. Những trò chơi dễ thương thời bé tính cách thật thà thẳng thắn một cách thông minh và dại dột những ước mơ tự do trong lòng… khiến cuốn sách có thể làm các bậc phụ huynh lo lắng rồi thở phào. Không chỉ thích hợp với người đọc trẻ cuốn sách còn có thể hấp dẫn và thực sự có ích cho người lớn trong quan hệ với con mình.
682b09ae103a033da6dfc1d7,Hoa Hồng Xứ Khác,Nguyễn Nhật Ánh,Văn học Việt Nam,Ngữ Khoa và Hòa lé đều say mê cô bạn cùng lớp Gia Khanh. Cái cô gái bị ba người cùng theo đó sẽ phải làm sao. Ba anh chàng làm gì để “chiến thắng”. Điều lý thú là gần như tác giả tái hiện lại thời học trò của mình với ngôn ngữ thời bây giờ nên các bạn đọc trẻ sẽ tìm thấy hình bóng của chính mình trong đó.
682b0cbb103a033da6dfc1da,Bàn có 5 chỗ ngồi,Nguyễn Nhật Ánh,Văn học Việt Nam,Tác giả quen thuộc của thiếu nhi của tuổi ô mai. Những tập truyện của anh luôn dí dỏm hài hước đem lại nhiều cảm xúc nhiều bài học nhẹ nhàng cho lứa tuổi học trò.Hãy đọc để cùng gặp những nhân vật rất dễ thương hoặc phải vượt qua những hoàn cảnh khó khăn hoặc sẵn lòng chia sẻ với bạn bè người thân… Thậm chí cả những nhân vật tạm gọi là “phe xấu” với nhiều trò đùa nghịch… cũng mang dáng dấp hồn nhiên. Tất cả hướng về Chân - Thiện - Mỹ.Họ là năm người bạn với năm cá tính và hoàn cảnh khác nhau cùng chung trong một lớp học. Những trò nghịch ngợm trẻ con đôi khi gây ra mâu thuẫn nhưng trên tất cả đó là những đứa trẻ ham học giàu lòng nhân ái và biết quan tâm đến bạn bè. Cảm thông với hoàn cảnh của nhau từng bạn nghĩ ra cách giúp đỡ bạn mình theo khả năng để tình bạn ấy lớn dần theo năm tháng.
682b0e5a103a033da6dfc1dd,Tắt đèn,Ngô Tất Tố,Văn học Việt Nam,Theo tôi tiên tri thì cuốn Tắt đèn còn phải sống lâu thọ hơn cả một số văn gia đương kim hôm nay. Chị Dậu đích là tác giả Ngô Tất Tố hóa thân ra mà thôi. Chị Dậu là cái đốm sáng đặc biệt của Tắt đèn. Nếu ví toàn truyện Tắt đèn là một khóm cây thì chị Dậu là cả gốc cả ngọn cả cành và chính chị Dậu đã nổi gió lên mà rung cho cả cái cây dạ hương Tắt đèn đó lên.(Nguyễn Tuân)
682b0f67103a033da6dfc1e0,Ngồi khóc trên cây,Nguyễn Nhật Ánh,Văn học Việt Nam,Nước mắt đâu phải chỉ dành cho nỗi buồn khi người ta có thể khóc vì niềm vui và hạnh phúc. Với Nguyễn Nhật Ánh nước mắt còn là một cái gì đó thiêng liêng đẹp đẽ và đầy mơ mộng khi ông kể về câu chuyện tình yêu trong sáng và ngây thơ giữa cô bé Rùa và anh chàng Đông trong truyện ngắn “Ngồi khóc trên cây”.
682b1218103a033da6dfc1e3,Phòng Trọ Ba Người,Nguyễn Nhật Ánh,Văn học Việt Nam,Phòng trọ ba người là nơi dành cho ba chàng sinh viên Chuyên Nhiệm và Mẫn trú ngụ là nơi họ chia sẻ việc học hành những trò nghịch ngợm và chia sẻ cả những buồn vui trong đời sống tình cảm.Mẫn chàng trai nhút nhát vốn quan niệm tình yêu là thứ “ xa xỉ phẩm” đến lúc phải dựng lên vở kịch tình yêu với sự trợ sức của Thu Thảo cô học trò tinh nghịch của anh. Trò chơi tưởng chỉ để góp vào không khí sôi động của căn gác trọ ấy không ngờ đã thực sự cuốn hút chàng trai chuyên “dị ứng với phụ nữ” ấy. Khi buộc lòng phải chấm dứt với trò chơi cũng là lúc Mẫn cảm thấy buông khuâng như phải chia tay với tình cảm thực sự.
682b1508103a033da6dfc1e6,Harry Potter và Hoàng tử lai,J.K.Rowling,Văn học phương Tây,Đây là năm thứ 6 của Harry Potter tại trường Hogwarts. Trong lúc những thế lực hắc ám của Voldemort gieo rắc nỗi kinh hoàng và sợ hãi ở khắp nơi mọi chuyện càng lúc càng trở nên rõ ràng hơn đối với Harry rằng cậu sẽ sớm phải đối diện với định mệnh của mình. Nhưng liệu Harry đã sẵn sàng vượt qua những thử thách đang chờ đợi phía trước?Trong cuộc phiêu lưu tăm tối và nghẹt thở nhất của mình J.K.Rowling bắt đầu tài tình tháo gỡ từng mắc lưới phức tạp mà cô đã mạng lên cũng là lúc chúng ta khám phá ra sự thật về Harry cụ Dumblebore thầy Snape và tất nhiên Kẻ Chớ Gọi Tên Ra…
682b15cd103a033da6dfc1e9,Harry Potter và Bảo bối tử thần,J.K.Rowling,Văn học phương Tây,Harry đang chờ đợi ở trường Privet Drive. Hội Phượng Hoàng sắp đến hộ tống nó ra đi an toàn gắng hết sức không để cho Voldemort và bọn tay chân hắn biết được. Nhưng sau đó Harry sẽ làm gì? Làm cách nào nó có thể hoàn thành nhiệm vụ cực kỳ quan trọng và dường như bất khả thi mà giáo sự Dumbledore đã giao lại cho nó?
682b1696103a033da6dfc1ec,Harry Potter Và Mật lệnh Phượng Hoàng,J.K.Rowling,Văn học phương Tây,Harry tức giận vì bị bỏ rơi ở nhà Dursley trong dịp hè cậu ngờ rằng Chúa tể hắc ám Voldemort đang tập hợp lực lượng và vì cậu có nguy cơ bị tấn công những người Harry luôn coi là bạn đang cố che giấu tung tích cậu. Cuối cùng sau khi được giải cứu Harry khám phá ra rằng giáo sư Dumbledore đang tập hợp lại Hội Phượng Hoàng – một đoàn quân bí mật đã được thành lập từ những năm trước nhằm chống lại Chúa tể Voldemort. Tuy nhiên Bộ Pháp thuật không ủng hộ Hội Phượng Hoàng những lời bịa đặt nhanh chóng được đăng tải trên Nhật báo Tiên tri – một tờ báo của giới phù thủy Harry lo ngại rằng rất có khả năng cậu sẽ phải gánh vác trách nhiệm chống lại cái ác một mình.
682b17fd103a033da6dfc1ef,Ngày xưa có một chuyện tình,Nguyễn Nhật Ánh,Văn học Việt Nam,NGÀY XƯA CÓ MỘT CHUYỆN TÌNH là tác phẩm mới tinh thứ 2 trong năm 2016 của nhà văn Nguyễn Nhật Ánh dài hơn 300 trang được coi là tập tiếp theo của tập truyện Mắt biếc. Có một tình yêu dữ dội với em của một người yêu em hơn chính bản thân mình - là anh.Ngày xưa có một chuyện tình có phải là một câu chuyện cảm động khi người ta yêu nhau nỗi khát khao một hạnh phúc êm đềm ấm áp đến thế hay đơn giản chỉ là chuyện ba người - anh em và người ấy…?Bạn hãy mở sách ra để chứng kiến làn gió tình yêu chảy qua như rải nắng trên khuôn mặt mùa đông của cô gái nụ hôn đầu tiên ngọt mật cái ôm đầu tiên những giọt nước mắt và cái ôm xiết cuối cùng… rồi sẽ tìm thấy câu trả lời cho riêng mình.
682b1918103a033da6dfc1f2,Tôi thấy hoa vàng trên cỏ xanh,Nguyễn Nhật Ánh,Văn học Việt Nam,Cuốn sách viết về tuổi thơ nghèo khó ở một làng quê bên cạnh đề tài tình yêu quen thuộc lần đầu tiên Nguyễn Nhật Ánh đưa vào tác phẩm của mình những nhân vật phản diện và đặt ra vấn đề đạo đức như sự vô tâm cái ác. 81 chương ngắn là 81 câu chuyện nhỏ của những đứa trẻ xảy ra ở một ngôi làng: chuyện về con cóc Cậu trời chuyện ma chuyện công chúa và hoàng tử bên cạnh chuyện đói ăn cháy nhà lụt lội... “ Tôi thấy hoa vàng trên cỏ xanh”hứa hẹn đem đến những điều thú vị với cả bạn đọc nhỏ tuổi và người lớn bằng giọng văn trong sáng hồn nhiên giản dị của trẻ con cùng nhiều tình tiết thú vị bất ngờ và cảm động trong suốt hơn 300 trang sách. Cuốn sách vì thế có sức ám ảnh thu hút hấp dẫn không thể bỏ qua.
682b1d76103a033da6dfc1f5,Mắt biếc,Nguyễn Nhật Ánh,Văn học Việt Nam,Một tác phẩm được nhiều người bình chọn là hay nhất của nhà văn này. Một tác phẩm đang được dịch và giới thiệu tại Nhật Bản (theo thông tin từ các báo)… Bởi sự trong sáng của một tình cảm bởi cái kết thúc rất rất buồn khi suốt câu chuyện vẫn là những điều vui buồn lẫn lộn (cái kết thúc không như mong đợi của mọi người). Cũng bởi mắt biếc… năm xưa nay đâu (theo lời một bài hát).
